clean_sentence,dyslexic_sentence,error_type
අද මම නිදාගන්නවා.,අද මන් නිදාගන්නව,Spelling
අක්කා කතා කරනවා,අක්ක කතාකරනව,unknown
ඉස්කෝලෙට,ඉස්කෝලෙඩ,ඩ/ට
පොලිසියේ නඩුවක් දැම්මා,පොලීසියෙ නඩුවක් දැම්මා,Phonetic Confusion
අද නාවත් නෑ,අද ණාවත් නෑ,phonetic_confusion
ගන්න දෙයක් නෑ,ගන්ඩ දෙයක් නෑ,phonetic
භයානක සතෙක්.,බයානක සතෙක්.,phonetic_confusion
කලින් මම ආවා.,කලින් මන් ආව,Spelling
මම යනවා ඉරිදා,මං යනවා සන්ඩෙ,unknown
ඉර හොඳට පායලා තියෙනවා.,ඉර හොදට පායලා තියනවා.,phonetic
සතුටු දායක දිනයක්,සතූටු දයක දිනයක්,visual
මාළුවා අල්ලනවා,මාළුවා අල්ලනවා,no_error
කෑම කාලා එනවා,කෑම කාල එනව,Grammatical - Spoken vs Written
දුර ගියා,දුරෙ ගියා,phonetic
ගාඩ්න් එකට යන්න,ගාඩ්නෙට යන්න,spoken vs written
සතුටු වෙන්න ජීවිතේට.,සතුටු වෙන්න ජීවිතේට.,no_error
කඳු ලස්සනයි.,කදු ලස්සනයි,Phonetic (N/N)
ඔය බඩුව මොකටද?,ඔය බඩුව මොකටද,Incomplete Sentence
ගන්න දෙයක් නෑ.,ගන්ඩ දෙයක් නැ,Spelling
ගහ කොළ සරුවට වැඩෙනවා.,ගහ කොළ සරුවට වඩෙනනව,grammar
හෙට මං යන්නේ පිරිනාවට.,හෙට මං යන්නේ පිරිනාවට.,unknown
අපි දැන් එන්නද කියලා බැලුවා.,අපි දැන් එන්නද කියල බැලුව,Spelling
මම පාන් කන්න යනවා.,මම පොට කන්න යනව.,phonetic
පූසා ගෙදර ඉන්නවා.,පූස ගෙදර ඉන්නව.,Grammar
ඔය ළමයා කවුද,ඔය ළමයා කවුද,no_error
අම්මා බත් උයලා දෙනවා.,අම්මා බත් උයලා දෙනවා.,no_error
මං කඩේට යනව.,මං කඩෙ යනව,unknown
මට ඔයාව මතක් වුණා.,මට ඔයාව මතක් උනා,Phonetic (N/ND)
අද රන්ඩු දවසක්.,අද රන්දලු දවසක්,Visual Scrambling
අක්කා බත් උයනවා.,අක්ක බත් උයනව.,unknown
මං කඩේ ගියා,මං කඩෙ ගියාව,Grammar
කළු පාට.,කඵ පාට.,Phonetic Confusion
සමහරවිට,සමහරවට,Phonetic Confusion
ගමට උගන්නන.,ගමට උගන්නන.,no_error
අද මන් පන්ති යනවා.,අද මන් පන්ති යනව,Grammar
එයාට කතා කරන්න.,එයාට කතා කර්න්න,Phonetic (R/L)
මං තියෙනවා,මං තියෙන්නවා,Grammar
දුරකථනය නාද වෙනවා.,දුරකථනය නාද වෙනවා.,unknown
බල්ලා ගස යට,බල්ලා ගස යට,no_error
ගාල්ලේ ඉඳලා මම ආවා,ගාල්ලෙ ඉදල මම ආව,grammar
කෑම හොඳයි,කබය හොඳයි,visual_reversal
කතන්දරයක් කියපන්.,කතන්දරයක් කියපන්,unknown
මට පොතක් ඕනෙ උනත් සල්ලි තිබ්බේ නැ.,මට පොතක් ඕනෙ උනත් සල්ලි තිබ්බෙ නැ.,Spelling
මට සල්ලි දුන්නා,මට සල්ලි දින්න,grammar
අහසේ වළාකුළු තියෙනවා,අහසෙ වළාකුළු තියනව,unknown
අම්මා බත් උයනවා.,අම්මා බත් උයනවා.,no_error
අම්මා කෑම හදනවා.,අම්මා කෑම හඩනනවා.,Phonetic Confusion
අම්මා බඩගිනිද?,අම්මා බඩගිනි නෙ,Grammar
මට බඩගිනියි,මට බඩගිනියි,no_error
කාමරේට යන්න ඕනෑ.,කමරෙට යන්ඩ ඔනි,Spelling
කරන්නෙ මොනවද?,කගෙඩ මොනවද,unknown
බයියා ඉන්නවා,ඩයියා ඉන්නව,unknown
අනික උඹ කොහෙද යන්නෙ,අනික උඹ කොහෙද යන්නෙ,no_error
සොයාදෙන්න මට කියන්න,සොයාද මට කියන්න,grammar
පන්සල ළඟ ලොකු නුග ගහක් තියෙනවා.,පන්සල ලඟ ලොකු නුග ගහක් තියනව,Spelling
ගඟ ගාවට යන්න.,ගඟ ගාවට යන්න,unknown
අද හවස මන් එනවා.,අද හවස මන් එනව,Spelling
බල්ලා බෝලයත් එක්ක දුවනවා.,බල්ලා බෝලය එක්ක දුවනවා.,grammar
අනික මං ගියා.,අනික මං ගියා,unknown
බල්ලා දොර දිහා බලාගෙන ඉන්නවා.,බල්ලා දොර දිහාව බලාගන ඉන්නව.,unknown
කැලේ,කැලෙ,grammar
පොතක් ගන්න ඕනේ.,පොතක් ගන්න ඔනේ,grammar
අම්මා කේක් හැදුවා.,අම්මා කේක් හැදුව,Spelling
මට පොඩ්ඩක් ඉවසන්න බෑ.,මට පොඩ්ඩක් ඉවසන්න බැ,Spelling
ගඟ ගලනවා,ගඟ ගලනවා,unknown
දොර ලොකුයි.,ඩොර ලොකුයි.,unknown
මට පොතක් දෙන්න.,මට පොතක් දෙන්න.,unknown
අද සවස වෙනකන් ඉන්න ඕන.,අද සන්දව වෙනකන් ඉන්න ඔන.,phonetic_confusion
පුටුව උඩ ඉඳගන්නද,පුටුව උඩ ඉඳගන්නද,no_error
පොත ඩෙස්ක් එක උඩ තියෙනවා.,පත පොත ඩෙස්ක් එක උඩ තියනව.,unknown
සතෙක් ඉන්නවා වගේ.,සතෙක් ඉන්නවා වගේ.,no_error
කැමතිනම් දෙන්න,කැමතිනම් දන්න,phonetic_confusion
පොඩ්ඩකට ඉන්නවා,පොඩ්ඩකට ඉන්නව,Grammar
බඳිනවා,බන්දනව,phonetic
අද හවස එනවා,අද හවස එනව,grammar
එයාලා එහෙ ගියා.,එයාලා එහෙ ගියා.,no_error
පණ්ඩිතයෙක් කතා කරනවා,පන්ඩිතයෙක් කතා කරනව,Phonetic Confusion
උඩ බලාගෙන ඉන්නවා,උඩ බලාගන ඉන්නව,grammar
පොලිසිය හොරා ඇල්ලුවා,පොලිසිය හොරා ඇල්ලුව,grammar
පැන දිගයි.,පැන දිගයි,unknown
කෙල්ල හරිම ලස්සනයි දැන්න.,කෙල්ල හරිම ලස්සනයි බැනව.,Visual Reversal
වලට ගියා.,වලට ගියා.,unknown
ළමයි ටික කනවා,ලමය ටික කනව,Phonetic Confusion
පූසා ලස්සනට ඉන්නවා.,පූස ලස්සනට ඉන්නව,Grammar
අද මම පන්තියට ගියා,අද මං පංතියෙ ගියා,unknown
අද ඉස්කෝලෙට යන්න බෑ.,අද ඉස්කෝලෙට යන්න බෑ.,no_error
පළවෙනි පාරට මම ඒක දැක්කේ.,පලවෙනි පාරට මන් ඒක දැක්කෙ,Spoken vs Written
එයා දැන් නිදාගන්න යනවා.,එයා නිදියන්න යනව දැන්.,grammar
අම්මට කතා කරන්න ඕන,අම්මට කත කරන්න ඕන,phonetic confusion
අපි සිනමාවට යනවා.,අපි සිනමා වලට යනව,Spelling
පාරේ ලස්සන මල් තියෙනවා.,පාරෙ ලස්සන මල් තියෙනව,Spelling
කිරි බිව්වා දෙනෙක.,කිරි බිව්ව ඩෙනෙක.,visual reversal
ඔෆිස් එකේ වැඩ.,ඔෆිස් එකෙ වැඩ,Spelling
අද මම ගෙදර යනවා.,අද මම ගෙදර යනවා.,no_error
ගඟ ගාව ලොකු නුග ගහක් තියෙනවා.,ගඟ ගාව ලොකු නුග ගහක් තියෙනවා,unknown
බබා පිට්ටු කෑවා,බඅනා පිට්ටු කෑවා,unknown
සින්දු කිහිපයකුත්.,සින්දු කිහිපය්ක්,visual_scrambling
ළමයින්ට පොත දෙන්න,ලමයින්ට පොත දෙනන,Phonetic Confusion
අනික මම එන්නම්.,අනික මං එන්නම්,Spelling
දුරකථන අංකය 1234567890.,දුර කතනය නම্বরය 1234567890.,Word Choice
ගොඩක් පරක්කු වෙලා එනවා,ගොඩක් පරක්කු වෙලා එනව,unknown
මට සල්ලි ටිකක් දෙන්න.,මට සල්ලි ටිකක් ඳෙන්න,unknown
රුපියල් දහයේ කොළයක්,රුපියල දහයෙ කොලයක්,Grammar
පිටරට,පිටරව,unknown
මං යන්න ඕන,මං යන්ඩ ඕන,Phonetic Confusion
